Title,Type,Genre,Release Year,Rating,Duration,Country
Title 1,TV Show,Comedy,1955,PG,1800,Japan
Title 2,TV Show,Horror,2020,G,1800,India
Title 3,TV Show,Action,1966,TV-PG,140,United States
Title 4,Movie,Thriller,2011,PG-13,141,Canada
Title 5,TV Show,Romance,1959,TV-14,172,India
Title 6,Movie,Action,2007,PG-13,141,Japan
Title 7,Movie,Romance,1977,TV-14,68,United States
Title 8,Movie,Comedy,1971,TV-PG,104,Japan
Title 9,Movie,Drama,2000,PG-13,141,Canada
Title 10,Movie,Thriller,1975,TV-MA,141,India
Title 11,TV Show,Romance,2021,TV-14,139,Australia
Title 12,TV Show,Action,1986,PG-13,85,Germany
Title 13,Movie,Documentary,1997,R,129,Australia
Title 14,Movie,Sci-Fi,1986,TV-PG,129,Germany
Title 15,TV Show,Documentary,1994,PG-13,1800,Canada
Title 16,TV Show,Horror,1996,TV-MA,107,Japan
Title 17,Movie,Comedy,1969,TV-PG,141,United Kingdom
Title 18,TV Show,Drama,1983,G,147,South Korea
Title 19,Movie,Romance,2011,G,141,United Kingdom
Title 20,Movie,Romance,2023,R,141,United Kingdom
Title 21,TV Show,Sci-Fi,1993,G,120,Australia
Title 22,TV Show,Drama,1968,R,1200,Germany
Title 23,Movie,Drama,2023,TV-PG,141,United Kingdom
Title 24,Movie,Comedy,1965,R,115,United States
Title 25,TV Show,Sci-Fi,1991,TV-MA,600,Australia
Title 26,TV Show,Romance,1997,R,1200,United States
Title 27,Movie,Drama,2004,TV-PG,164,Japan
Title 28,TV Show,Horror,1952,PG-13,175,United States
Title 29,Movie,Thriller,1969,TV-MA,68,India
Title 30,TV Show,Comedy,1955,PG,78,Canada
Title 31,Movie,Horror,1992,TV-MA,141,Australia
Title 32,TV Show,Horror,1989,TV-MA,1200,United States
Title 33,Movie,Documentary,1975,TV-MA,141,Japan
Title 34,TV Show,Thriller,1996,TV-14,600,Canada
Title 35,Movie,Thriller,2019,TV-PG,141,Canada
Title 36,Movie,Documentary,1999,PG-13,88,United States
Title 37,Movie,Comedy,1964,TV-PG,133,United Kingdom
Title 38,Movie,Action,2003,TV-MA,156,Australia
Title 39,TV Show,Documentary,2000,PG,1800,Japan
Title 40,Movie,Comedy,1989,TV-14,141,United Kingdom
Title 41,Movie,Documentary,1971,PG-13,141,Germany
Title 42,TV Show,Horror,1981,TV-PG,1200,Japan
Title 43,Movie,Horror,2012,TV-MA,141,India
Title 44,Movie,Comedy,1955,G,141,Germany
Title 45,TV Show,Comedy,1959,TV-PG,76,United States
Title 46,TV Show,Sci-Fi,1961,TV-MA,1200,Australia
Title 47,TV Show,Thriller,1996,G,130,United States
Title 48,TV Show,Thriller,1967,R,67,Germany
Title 49,TV Show,Documentary,1973,PG,1800,United Kingdom
Title 50,TV Show,Comedy,1965,TV-PG,1200,India
Title 51,TV Show,Drama,1969,G,1800,Japan
Title 52,Movie,Documentary,1980,PG,140,Japan
Title 53,TV Show,Drama,1989,R,1200,India
Title 54,TV Show,Documentary,1964,PG,1800,Germany
Title 55,TV Show,Thriller,2018,TV-MA,128,Japan
Title 56,TV Show,Horror,1952,PG,97,South Korea
Title 57,Movie,Drama,2016,TV-14,141,Germany
Title 58,TV Show,Horror,1965,TV-PG,600,India
Title 59,Movie,Romance,2020,R,141,Germany
Title 60,Movie,Documentary,2016,R,141,South Korea
Title 61,TV Show,Romance,2014,TV-PG,1800,Canada
Title 62,TV Show,Thriller,2005,PG,1200,United Kingdom
Title 63,TV Show,Comedy,1970,PG-13,169,India
Title 64,Movie,Romance,1961,PG-13,141,United Kingdom
Title 65,Movie,Romance,1960,TV-PG,137,Australia
Title 66,TV Show,Comedy,1968,R,1800,Japan
Title 67,Movie,Documentary,1952,TV-MA,141,United Kingdom
Title 68,TV Show,Comedy,2001,TV-14,166,Japan
Title 69,TV Show,Action,2015,TV-PG,1200,Germany
Title 70,TV Show,Sci-Fi,1981,TV-MA,66,United States
Title 71,Movie,Horror,2018,TV-14,89,Germany
Title 72,Movie,Romance,1965,PG-13,140,Germany
Title 73,Movie,Thriller,2000,TV-PG,174,India
Title 74,TV Show,Sci-Fi,1954,TV-MA,175,United States
Title 75,TV Show,Horror,1967,PG-13,600,India
Title 76,Movie,Action,1962,G,72,United Kingdom
Title 77,Movie,Comedy,1995,PG,147,Japan
Title 78,TV Show,Drama,1954,R,600,Germany
Title 79,TV Show,Action,2006,PG-13,174,United States
Title 80,TV Show,Drama,1975,PG-13,138,United States
Title 81,TV Show,Drama,1974,TV-14,1800,Japan
Title 82,TV Show,Comedy,1963,R,143,Australia
Title 83,Movie,Sci-Fi,1962,R,86,Australia
Title 84,Movie,Action,1992,R,168,United States
Title 85,TV Show,Sci-Fi,1950,TV-14,1800,India
Title 86,TV Show,Drama,2002,TV-MA,1200,United States
Title 87,TV Show,Documentary,1988,TV-MA,108,Germany
Title 88,TV Show,Thriller,1961,TV-14,86,United States
Title 89,Movie,Documentary,1951,R,141,United Kingdom
